Site,Coverage,Abstention_Rate,Selective_Accuracy,False_Susceptible_Rate,Resistant_Miss_Rate,Dangerous_Error_Overall
Stanford 2022-2023,0.6110750594851828,0.38892494051481724,0.9203539823008849,0.07146215326751293,0.11987381703470032,0.03287908284663638
UTSW External,0.5250023366669783,0.4749976633330218,0.8995905287520028,0.09769046986992301,0.09826435246995995,0.03439573791943172
