Target,Validation,Comparison,Delta_ROC,ROC_CI_low,ROC_CI_high,Delta_PR,PR_CI_low,PR_CI_high,Brier_Improvement,Brier_CI_low,Brier_CI_high
Ciprofloxacin,Temporal 2022-2023,E vs B2,0.05010499845968121,0.036098002306596884,0.06481230689182232,0.038015355642649955,0.028146334137041325,0.04849040750626757,0.005310346324060051,0.003546778198016326,0.007104368707784615
Ciprofloxacin,Temporal 2022-2023,E vs D2,0.04735114367845564,0.033022330500429554,0.0611932202485043,0.028405881438717386,0.016672215218439666,0.03987880939122483,0.004984924154858268,0.0033057111321615753,0.006719696522114663
Ciprofloxacin,New-patient 2022-2023,E vs B2,0.05544353493443134,0.03534267034350731,0.07565834357308351,0.04017122355221505,0.02861400723513918,0.053073822262107065,0.005872224663472632,0.00367254217326904,0.00817543313048879
Ciprofloxacin,New-patient 2022-2023,E vs D2,0.052172243354401786,0.03268017870273689,0.0724418833915067,0.029410280288335474,0.016070066842684902,0.04314058779404178,0.005600935141141772,0.003471608217004776,0.00784384441362921
Ampicillin,Temporal 2022-2023,E vs B2,0.05088058838009214,0.04054703455526468,0.06223853317600681,0.036708744163921926,0.029465302654833575,0.04401162383991727,0.012280649609469847,0.00941400350064684,0.015262420142109531
Ampicillin,Temporal 2022-2023,E vs D2,0.049771896626887406,0.03851276439314821,0.06091686854967496,0.026554424521912198,0.017320688972071153,0.035590435827547263,0.011125759266996353,0.008202070133629235,0.013986404736707472
Ampicillin,New-patient 2022-2023,E vs B2,0.06457376645239739,0.05011764948258722,0.08031524450090757,0.043525841417460596,0.03495368111428591,0.05237416614333633,0.01589694351878056,0.012091029514044881,0.019781624369082467
Ampicillin,New-patient 2022-2023,E vs D2,0.06160794185370773,0.047883174368376746,0.07641116898991158,0.030387695311857692,0.020833538576787117,0.04149876742546977,0.014502441234113459,0.010799782677994238,0.01809766314046436
