Metric,Mean,CI_low,CI_high
coverage,0.524878946883354,0.5134440673921655,0.5362327372956326
selective_accuracy,0.899596183288481,0.8894670894957946,0.9087518379185704
false_susceptible_rate,0.09776866604248252,0.08747616287684946,0.10826794330034768
resistant_miss_rate,0.09826791382754553,0.0875256086291439,0.1084571659255257
dangerous_error_overall,0.0343903851330023,0.030912955961060806,0.037984974005321484
