Target,Validation,Comparison,Delta_ROC,ROC_CI_low,ROC_CI_high,Delta_PR,PR_CI_low,PR_CI_high,Brier_Improvement,Brier_CI_low,Brier_CI_high,Scenario
Ciprofloxacin,Temporal 2022-2023,E vs B2,0.05010499845968121,0.036098002306596884,0.06481230689182232,0.038015355642649955,0.028146334137041325,0.04849040750626757,0.005310346324060051,0.003546778198016326,0.007104368707784615,"Ciprofloxacin
Temporal 2022-2023"
Ciprofloxacin,New-patient 2022-2023,E vs B2,0.05544353493443134,0.03534267034350731,0.07565834357308351,0.04017122355221505,0.02861400723513918,0.053073822262107065,0.005872224663472632,0.00367254217326904,0.00817543313048879,"Ciprofloxacin
New-patient 2022-2023"
Ampicillin,Temporal 2022-2023,E vs B2,0.05088058838009214,0.04054703455526468,0.06223853317600681,0.036708744163921926,0.029465302654833575,0.04401162383991727,0.012280649609469847,0.00941400350064684,0.015262420142109531,"Ampicillin
Temporal 2022-2023"
Ampicillin,New-patient 2022-2023,E vs B2,0.06457376645239739,0.05011764948258722,0.08031524450090757,0.043525841417460596,0.03495368111428591,0.05237416614333633,0.01589694351878056,0.012091029514044881,0.019781624369082467,"Ampicillin
New-patient 2022-2023"
Ciprofloxacin,UTSW External,E vs B2,0.030273795342713704,0.022972916474207607,0.037739187201349694,0.030569095232659434,0.02522524031495178,0.035600181354255925,0.0048614392482090995,0.003570100993639875,0.006190057748608099,"Ciprofloxacin
UTSW External"
Ampicillin,UTSW External,E vs B2,0.03610347703472455,0.029842089108239177,0.0429833171552753,0.02930021647257379,0.024301668487359235,0.034064134987548636,0.010580895605003578,0.008651831330229134,0.012712710177372914,"Ampicillin
UTSW External"
