Target,Model,N,Patients,ROC_AUC,PR_AUC,Accuracy,Precision,Sensitivity_Recall,Specificity,F1,Brier_Score
Ampicillin,E_Interaction_TCSNet,11205,5624,0.7973585752323039,0.8151956126883574,0.7327086122266845,0.7753902662993573,0.704371037704371,0.7653041642678948,0.7381764140222047,0.18245168603873047
Ampicillin,D2_Additive_TCSNet,11205,5624,0.7623005209520913,0.79575513854731,0.734582775546631,0.7514152514152515,0.7529195862529195,0.7134906927653042,0.7521666666666667,0.19251067835298535
Ampicillin,B2_SameDrug_TimeWindow,11205,5624,0.7612695052885676,0.7858939570796694,0.7344935296742525,0.7507058628134862,0.7540874207540874,0.711955478794857,0.7523928422804828,0.19305369690419602
Ciprofloxacin,E_Interaction_TCSNet,10699,5403,0.8566349610812692,0.8001430314772997,0.8295167772689036,0.8166831519947247,0.661415220293725,0.9200460166810469,0.7308940690469165,0.1305033014043654
Ciprofloxacin,D2_Additive_TCSNet,10699,5403,0.8292229347691276,0.7840903963669967,0.8311057108140948,0.7866863905325444,0.7100133511348464,0.8963186655162496,0.7463859649122807,0.13499917542814985
Ciprofloxacin,B2_SameDrug_TimeWindow,10699,5403,0.8263212420510446,0.7696453579980338,0.8301710440228058,0.786563614744352,0.7065420560747664,0.8967500719010641,0.7444084962723309,0.13535320201839737
